Link,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Graphics Card Ram Size,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Average Battery Life (in hours)
https://www.amazon.com//Lenovo-ThinkBook-i7-1165G7-Graphics-Thunderbolt/dp/B09LTN9HTM/ref=sr_1_257?keywords=laptop&qid=1653585608&sr=8-257,13.3 Inches,2560 x 1600,2560 x 1600 Pixels,2.8 GHz core_i7_family,16 GB SO-DIMM,4266 MHz,512 GB SSD,Intel Iris Xe Graphics,Intel,,802.11ac,,,,9 Hours
https://www.amazon.com//MSI-Katana-i7-11800H-Processor-Keyboard/dp/B09TCFVGJF/ref=sr_1_258?keywords=laptop&qid=1653585608&sr=8-258,15.6 Inches,,1920 x 1080 Pixels,2.3 GHz apple_ci7,16 GB DDR4,4.6 GHz,512 GB SSD,NVIDIA GeForce RTX 3060,NVIDIA,Dedicated,Bluetooth,,,,
https://www.amazon.com//Razer-Book-Laptop-i7-1165G7-Thunderbolt/dp/B09HJGCL5Q/ref=sr_1_259?keywords=laptop&qid=1653585608&sr=8-259,13 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,2.8 GHz apple_ci7,16 GB DDR4,,SSD,Intel Iris Xe Graphics,Intel,Dedicated,"Bluetooth, 802.11a/b/g/n/ac",,,1,
https://www.amazon.com//Asus-TUF-i5-11260H-Threads-Keyboard/dp/B09JFHRPKH/ref=sr_1_260?keywords=laptop&qid=1653585608&sr=8-260,17.3 Inches,,1920 x 1080 Pixels,2.6 GHz apple_ci5,8 GB,2.6 GHz,512 GB SSD,NVIDIA GeForce RTX 3050 Ti,NVIDIA,Dedicated,802.11ax,,,,
https://www.amazon.com//Lenovo-ThinkBook-ACL-21A2009FUS-Notebook/dp/B09CQ9N69V/ref=sr_1_261?keywords=laptop&qid=1653585608&sr=8-261,14 Inches,1920 x 1080 pixels,1920 x 1080,2.6 GHz,16 GB DDR4,2.6 GHz,256 GB Flash Memory Solid State,AMD Radeon Graphics,AMD,Radeon Graphics,"Bluetooth, 802.11ac",,,,
https://www.amazon.com//MSI-Creator-17-Professional-Laptop/dp/B098WRVRH4/ref=sr_1_262?keywords=laptop&qid=1653585608&sr=8-262,17.3 Inches,3840 x 2160 pixels,3840 x 2160 Pixels,2.4 GHz core_i7_family,16 GB DDR4,3200 MHz,512 GB SSD,,NVIDIA,Dedicated,Bluetooth,6 GB,,2,
https://www.amazon.com//HP-i7-11800H-GeForce-Backlit-Thunderbolt4/dp/B09Y8M3X1K/ref=sr_1_264?keywords=laptop&qid=1653585608&sr=8-264,17.3 Inches,1920x1080,1920x1080 Pixels,2.3 GHz core_i7_family,32 GB DDR4,3200 MHz,2 TB SSD,Nvidia GeForce RTX 3060 6GB,NVIDIA,Dedicated,802.11ax,6 GB,,4,6 Hours
https://www.amazon.com//Lenovo-Chromebook-Processor-Graphics-82C10004US/dp/B08523MMRX/ref=sr_1_265?keywords=laptop&qid=1653585608&sr=8-265,14 Inches,,1366 x 768,1.1 GHz celeron_n3450,4 GB DDR4,2400 GHz,32 GB Flash Memory Solid State,Intel Integrated Graphics,Intel,Integrated,"Bluetooth, 801.11ac",,,2,10 Hours
https://www.amazon.com//ASUS-IPS-Type-R7-3750H-GeForce-FX505DV-PB74/dp/B07SXTDL1S/ref=sr_1_192?keywords=laptop&qid=1653585592&sr=8-192,15.6 Inches,,1920 x 1080 Pixels,4 GHz amd_ryzen_7,16 GB DDR4,2400 MHz,512 GB Flash Memory Solid State,NVIDIA GeForce RTX 2060,NVIDIA,Dedicated,"Bluetooth, 802.11b/n/ac",6 GB,1,2,
https://www.amazon.com//Acer-Predator-PT515-52-77P9-i7-10750H-Dual-Channel/dp/B086W3757D/ref=sr_1_263?keywords=laptop&qid=1653585608&sr=8-263,15.6 Inches,,1920 x 1080,5 GHz core_i7,32 GB DDR4,2933 MHz,1 TB Flash Memory Solid State,NVIDIA GeForce RTX 2080 Super,NVIDIA,RTX 2080 Super,802.11ac,8 GB,,3,5 Hours
