Link,Title, Price  
https://www.amazon.com//Acer-AN517-54-79L1-i7-11800H-GeForce-Display/dp/B09HJKGK5V/ref=sr_1_13?keywords=laptop&qid=1653585547&sr=8-13,"Acer Nitro 5 AN517-54-79L1 Gaming Laptop | Intel Core i7-11800H | NVIDIA GeForce RTX 3050Ti Laptop GPU | 17.3"" FHD 144Hz IPS Display | 16GB DDR4 | 1TB NVMe SSD | Killer Wi-Fi 6 | Backlit KB | Win 11","$1,099.99 "
https://www.amazon.com//Acer-i5-1035G1-Quad-Core-Processor-Ethernet/dp/B08K3NGK2Z/ref=sr_1_249?keywords=laptop&qid=1653585606&sr=8-249,"2020 Acer Aspire 3 15.6"" Full HD 1080P Laptop PC, Intel Core i5-1035G1 Quad-Core Processor, 8GB DDR4 RAM, 256GB SSD, Ethernet, HDMI, Wi-Fi, Webcam, Numeric Keypad, Windows 10 Home, Steel Gray",$417.00 
https://www.amazon.com//Acer-i7-1165G7-Graphics-Antimicrobial-SF514-55TA-74EC/dp/B08JQKMFFB/ref=sr_1_63?keywords=laptop&qid=1653585567&sr=8-63,"Acer Swift 5 Intel Evo Thin & Light Laptop, 14"" Full HD Touch, Intel Core i7-1165G7, Intel Iris Xe Graphics, 16GB LPDDR4X, 1TB NVMe SSD, Wi-Fi 6, Fingerprint Reader, Back-lit KB, SF514-55TA-74EC","$1,092.99 "
https://www.amazon.com//Acer-i7-1165G7-Graphics-Fingerprint-SF313-53-78UG/dp/B08P5724PZ/ref=sr_1_88?keywords=laptop&qid=1653585574&sr=8-88,"Acer Swift 3 Intel Evo Thin & Light Laptop, 13.5"" 2256 x 1504 IPS, Intel Core i7-1165G7, Intel Iris Xe Graphics, 8GB LPDDR4X, 512GB NVMe SSD, Wi-Fi 6, Fingerprint Reader, Back-lit KB, SF313-53-78UG",$613.99 
https://www.amazon.com//Acer-NX-HQUAA-009-Spin-SP513-54N-58XD-Notebook/dp/B08FCN53WM/ref=sr_1_202?keywords=laptop&qid=1653585595&sr=8-202,"Acer Spin 5 Convertible Laptop, 13.5"" 2256 x 1504 IPS Touch | 10th Gen Intel Core i5-1035G4 | 8GB LPDDR4 | 256GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Active Stylus | Windows 10 Pro | SP513-54N-58XD",$615.05 
https://www.amazon.com//Acer-Predator-i7-10750H-Dual-Channel-PH315-53-72XD/dp/B08842D7JS/ref=sr_1_64?keywords=laptop&qid=1653585567&sr=8-64,"Acer Predator Helios 300 Gaming Laptop, Intel i7-10750H, NVIDIA GeForce RTX 2060 6GB, 15.6"" Full HD 144Hz 3ms IPS Display, 16GB Dual-Channel DDR4, 512GB NVMe SSD, Wi-Fi 6, RGB Keyboard, PH315-53-72XD","$1,199.00 "
https://www.amazon.com//Acer-Predator-PT515-52-77P9-i7-10750H-Dual-Channel/dp/B086W3757D/ref=sr_1_263?keywords=laptop&qid=1653585608&sr=8-263,"Acer Predator Triton 500 PT515-52-77P9 Gaming Laptop, Intel Core i7-10750H, NVIDIA GeForce RTX 2080 Super, 15.6"" FHD NVIDIA G-SYNC Display, 300Hz, 32GB Dual-Channel DDR4, 1TB NVMe SSD, RGB Backlit KB","$1,994.98 "
https://www.amazon.com//Acer-SFX14-41G-R1S6-Creator-LPDDR4X-Backlit/dp/B093TK1PXF/ref=sr_1_43?keywords=laptop&qid=1653585564&sr=8-43,"Acer Swift X SFX14-41G-R1S6 Creator Laptop | 14"" Full HD 100% sRGB | AMD Ryzen 7 5800U | NVIDIA RTX 3050Ti Laptop GPU | 16GB LPDDR4X | 512GB SSD | Wi-Fi 6 | Backlit KB | Amazon Alexa | Windows 10 Home","$1,051.57 "
https://www.amazon.com//Alienware-3070-Gaming-Laptop-Full/dp/B08XDX7CW8/ref=sr_1_55?keywords=laptop&qid=1653585567&sr=8-55,"Alienware m15 R4 RTX 3070 Gaming Laptop Full HD (FHD), 15.6 inch - Intel Core i7-10870H, 16GB DDR4 RAM, 1TB SSD, NVIDIA GeForce RTX 3070 8GB GDDR6, Windows 10 Home - Lunar Light","$1,787.98 "
https://www.amazon.com//Alienware-Display-i7-10700K-GeForce-AWARR2-7323WHT-PUS/dp/B08DWGVNZH/ref=sr_1_272?keywords=laptop&qid=1653585608&sr=8-272,"Alienware Area 51M Gaming Laptop, 17.3"" 300hz 3ms FHD Display, Intel Core i7-10700K, Nvidia GeForce RTX 2070 Super 8GB GDDR6, 1TB SSD, 16GB RAM, Lunar Light (AWARR2-7323WHT-PUS)","$2,229.99 "
